X1,Rrup,StationCode,EQID,EQdepth,M,EarthquakeLatitude,EarthquakeLongitude,StationLatitude,StationLongitude,Rjb,Vs30,PGA,Lowpass,Highpass,M2,lnRh,MlnRh,lnVs30,lnPGA,useable_period,Mlow,Mmid,Mup,Frv,Fn,ergod_res
19,156.34,LIND,ci38443095,10.6,4,35.70817,-117.50367,36.35307,-119.05668,156.13,710.1,3.3215742999999993e-4,27.93218,0.67698,16,5.052769012379642,20.211076049518567,6.565405805188048,-8.009901514691805,1.1817188100091582,TRUE,FALSE,FALSE,0,0,0.8284270047460343
29,199.07,13577,ci38443095,10.6,4,35.70817,-117.50367,33.928000000000004,-117.8032,198.94,298.1,2.3355651e-4,8.439689999999999,0.53981,16,5.29411052985242,21.17644211940968,5.697429000684026,-8.362086497287741,1.4820029269557806,TRUE,FALSE,FALSE,0,0,0.6668691605927286
30,191.95,13921,ci38443095,10.6,4,35.70817,-117.50367,33.9753,-117.4865,191.81,447.3,1.6119508999999998e-4,11.29169,0.99805,16,5.257723218597589,21.030892874390357,6.103229510438802,-8.732895187412705,0.8015630479434899,TRUE,FALSE,FALSE,0,0,0.4057719198048524
34,183.72,23077,ci38443095,10.6,4,35.70817,-117.50367,34.056999999999995,-117.698,183.57,293.5,1.9703359e-4,7.91098,0.3545,16,5.213945860589845,20.85578344235938,5.681877639268151,-8.532136336146843,2.2566995768688294,TRUE,FALSE,FALSE,0,0,0.26614414841445466
35,175.58,23163,ci38443095,10.6,4,35.70817,-117.50367,34.123000000000005,-117.54,175.41,351.9,1.0108728e-4,8.71715,0.4592,16,5.1686783172579345,20.674713269031738,5.863347044327539,-9.199526255877087,1.7421602787456447,TRUE,FALSE,FALSE,0,0,-0.4281967494847354
36,191.08,23173,ci38443095,10.6,4,35.70817,-117.50367,34.001999999999995,-117.814,190.94,438.7,1.1591754e-4,8.17106,0.33229000000000003,16,5.253184940098928,21.01273976039571,6.083815808172168,-9.062631481709118,2.4075355863853862,TRUE,FALSE,FALSE,0,0,0.0532923701404453
37,178.41,23178,ci38443095,10.6,4,35.70817,-117.50367,34.1321,-117.9108,178.26,293.5,1.2765653e-4,8.17106,0.41673,16,5.184649454800475,20.7385978192019,5.681877639268151,-8.96616726008185,1.9197082043529383,TRUE,FALSE,FALSE,0,0,-0.24696496601262652
39,192.15,24020,ci38443095,10.6,4,35.70817,-117.50367,34.0752,-118.2176,192.02,447.3,2.1195168999999997e-4,7.415389999999999,0.5059899999999999,16,5.258763598693947,21.035054394775788,6.103229510438802,-8.459152186618743,1.581058914207791,TRUE,FALSE,FALSE,0,0,0.6824091752787531
40,195.28,24103,ci38443095,10.6,4,35.70817,-117.50367,34.1599,-118.532,195.14,293.5,3.2754039e-4,8.439689999999999,0.37819,16,5.2749062196994085,21.099624878797634,5.681877639268151,-8.023899182248995,2.115338850842169,TRUE,FALSE,FALSE,0,0,0.942772642300211
41,185.09,24765,ci38443095,10.6,4,35.70817,-117.50367,34.219,-118.429,184.94,293.5,2.6159794999999997e-4,7.65918,0.25653000000000004,16,5.221367337388644,20.885469349554576,5.681877639268151,-8.248701774803372,3.118543640120063,TRUE,FALSE,FALSE,0,0,0.5697980819877877
